section,content
overview,"Welcome to client-side web development!  This course will cover the skills and techniques necessary for creating effective, usable, dynamic, and responsive applications that meet user needs.  Through a variety of assignments, students will learn best practices for developing mobile-friendly web pages for various purposes."
dates,6/23/2015 - 7/22/2015
time,"M/T/W/Th, 4:15 - 7:20"
location,MGH 430
credits,5
instructor,Michael Freeman
instructor_position,"Lecturer, Information School"
instructor_email,mikefree@uw.edu
ta,Kristen Shinohara
ta_position,"PhD Candidate, Information School"
ta_email,kshino@uw.edu
challenges,"Because of the ever-changing nature of web development, the purpose of this course is for students to be able to teach themselves new tools (rather than learn a pre-defined set of skills).  To accomplish this, students are expected to complete a series of challenges that assess their progress throughout the course.  Lectures provide the necessary background information that enables students to seek out solutions for challenges.  The first set of challenges ensures that students cover a core set of competencies.  The latter half of class is designed to facilitate the exploration of new technologies, and apply them to projects of interest.  "
participation,"Class time is designed to be a fun and interactive time for students to engage with both the material and one another.  We will follow a mixed lecture/exercise format that allows students to experiment with techniques as they are introduced in a lecture.  It is an expectation that students are actively engaged in these activities, and assist their classmates when appropriate. "
